column_header,station_id,depth,longitude,latitude
st1 050m,1,50,205.6,17
st1 090m,1,90,205.6,17
st1 120m,1,120,205.6,17
st1 200m,1,200,205.6,17
st1 300m,1,300,205.6,17
st1 400m,1,400,205.6,17
st1 600m,1,600,205.6,17
st3 040m,3,40,204,8
st3 060m,3,60,204,8
st3 120m,3,120,204,8
st3 150m,3,150,204,8
st3 200m,3,200,204,8
st3 250m,3,250,204,8
st3 500m,3,500,204,8
st3 550m,3,550,204,8
st3 600m,3,600,204,8
st3 800m,3,800,204,8
st5 020m,5,20,202.01,0
st5 050m,5,50,202.01,0
st5 080m,5,80,202.01,0
st5 120m,5,120,202.01,0
st5 200m,5,200,202.01,0
st5 300m,5,300,202.01,0
st5 400m,5,400,202.01,0
st5 500m,5,500,202.01,0
st6 040m,6,40,199.23,-3.5
st6 080m,6,80,199.23,-3.5
st6 200m,6,200,199.23,-3.5
st8 040m,8,40,194.64,-9.25
st8 070m,8,70,194.64,-9.25
st8 200m,8,200,194.64,-9.25
st9 040m,9,40,192.44,-12
st9 070m,9,70,192.44,-12
st9 380m,9,380,192.44,-12
st12 040m,12,40,186.9,-15
st12 120m,12,120,186.9,-15
st12 300m,12,300,186.9,-15
